čČNB,název/autor,popis zdroje,Wikidata QID
cnb003039284,100 Years of Communism: History and Memory :,Pole 111; pole 710,
cnb003519745,Břišní labyrint - nemoci střev a jater :,Pole 111 (několik podpolí $c),
cnb001288192,"Dcera ""starého Vlkodava"" / A. Weruméus Buning",dvě pole LKR,Q121943954
cnb001288191,Pohozené dítě : ze zápisků herce / L.N. Samsonov,"Obsahuje přívazky, mj Vlkodava (viz cnb001288192)",
cpv20183058779,"Žalman, aneb, Naslouchám tichu Země","opakované 007, 2x 336/337/338, DVD video + CD audio ",
cnb003592677,"Romeo and Juliet :scenes from the ballet, op. 64 ; Symphony no. 1 in D major, op. 25 ""Classical"" /Serge Prokofiev","opakované 007, CD audio",
cnb001887732,Hrajeme s kazetou 1 :dueta pro zobcové flétny,"opakované 007, partitura + audiokazeta",
cnb001810735,Praha - Královská cesta,"opakovaná 007, text větším písmem a souběžně v Braillově písmu",
cnb002927717,Příručka pro zrakově postižené - mimořádné události,"opakovaná 007, souběžný text v Braillově slepeckém písmu",
zpk20193123333,Nopţi albe şi zile negre,"opakovaná 007, 2x 336/337/338, text + CD audio",
zpk20041414418,"Mappae Arabicae :arabische Welt- und Länderkarten des 9.-13. Jahrhunderts, in arabischer Urschrift, lateinischer Transkription und Übertragung in neuzeitliche Kartenskizzen : mit einleitenden Texten","opakovaná 007, text + mapy/atlasy",
zpz20223400724,"Speak, memory /Collegium Musicum","opakovaná 007, 2x 336/337/338, CD audio + DVD video",
cnb003474585,Šest suchých jehel pro Jiřího Johna,"opakovaná 336/338, grafika a text",
